PQID,Title,Author,Publication,Date,Year
1350838930,Cascading Confessions: † Commentary,"Dowd, Maureen",New York Times,"May 15, 2013",2013
1350839099,"No, He's Not, but the Bullies Still Won't Give Him a Break: † [Review]","Isherwood, Charles",New York Times,"May 15, 2013",2013
1351102178,Life saved as an online mystery is solved,"Kelman, Brett M",USA TODAY,"May 15, 2013",2013
1350301642,Bulls' Physical Approach To James Is Familiar: † [Sports Desk],"Araton, Harvey",New York Times,"May 14, 2013",2013
1350561599,Educate public on gun safety,,USA TODAY,"May 14, 2013",2013
1350333979,"Quinn Faces Resistance --- Gay Groups Have Endorsed Her, but Loud Faction Opposes City Council Speaker","Vilensky, Mike",Wall Street Journal,"May 14, 2013",2013
1350234805,"Te'o must earn teammates' acceptance: † Life as an NFL rookie is tough, and his odyssey presents added twists","Jones, Lindsay H",USA TODAY,"May 13, 2013",2013
1349843545,Benghazi: The Tragedy and the Politics: † [Letter],,New York Times,"May 11, 2013",2013
1349844218,Just Another Hurdle: † [Sports Desk],"Longman, Jer…",New York Times,"May 11, 2013",2013
1349862659,REVIEW --- Books: The Crank That Set the World Rolling,"Lowenstein, Roger",Wall Street Journal,"May 11, 2013",2013
1349674780,Shimmying Off The Literary Mantle: † [Review],"Scott, A O",New York Times,"May 10, 2013",2013
1350838780,The Listings: † [Schedule],,New York Times,"May 10, 2013",2013
1349673539,Spare Times: For Children: † [Schedule],"Graeber, Laurel",New York Times,"May 10, 2013",2013
1349049753,Weight Led Governor To Surgery: † [Metropolitan Desk],"Zernike, Kate; Santora, Marc",New York Times,"May 8, 2013",2013
1348757571,"Changing Sex, and Changing Teams: † [National Desk]","Lovett, Ian",New York Times,"May 7, 2013",2013
1348930180,Alvarez in bout vs. Bellator,"Fowlkes, Ben",USA TODAY,"May 7, 2013",2013
1348494341,Proudly Part of a Mission To Help All Live in Truth: † [Sports Desk],"Griner, Brittney",New York Times,"May 6, 2013",2013
1348495883,Another Order to Vacate At Site Threatened by Crane: † [National Desk],"Moynihan, Colin",New York Times,"May 5, 2013",2013
1348495600,Classical Recordings: † [Review],"Woolfe, Zachary; Tommasini, Anthony; Oestreich, James R",New York Times,"May 5, 2013",2013
1348495129,'Babe: Pig in the City': † [Arts and Leisure Desk],"Taylor, Charles",New York Times,"May 5, 2013",2013
1348495240,Beyond The Code Of the Streets: † [Op-Ed],"Coates, Ta-Nehisi",New York Times,"May 5, 2013",2013
1348494087,... Summer Camps Won't Tell You,"Wieczner, Jen",Wall Street Journal,"May 5, 2013",2013
1347734490,Cash for Karzai: A C.I.A. Caper: † [Letter],,New York Times,"May 3, 2013",2013
1346933372,The Meaning Of Home,"Kauffman, Bill",Wall Street Journal,"Apr 30, 2013",2013
1346778093,Arts & Entertainment -- Curtain Raisers: The Freedom to Tell Your Own Tale,"Simon, Lizzie",Wall Street Journal,"Apr 30, 2013",2013
1346422045,It's Vacation: Let's Go on a Killing Spree!: † [Arts and Leisure Desk],"Rapold, Nicolas",New York Times,"Apr 28, 2013",2013
1346421568,The Dark Side of Energy Independence: † [Op-Ed],"Alter, Benjamin; Fishman, Edward",New York Times,"Apr 28, 2013",2013
1346424304,Growing Pains: † [Style Desk],"Chumsky, Susan",New York Times,"Apr 28, 2013",2013
1346290447,World News: Venezuelans Allege Political Reprisals,"Vyas, Kejal; Gonzalez, Angel",Wall Street Journal,"Apr 27, 2013",2013
1346290521,REVIEW --- Hollywood's New Arms Race --- Why are so many of our leading men suddenly so buff? Beware the pernicious trickle-down for average guys,"Lazebnik, Rob",Wall Street Journal,"Apr 27, 2013",2013
1346292109,REVIEW --- Books: With a Room of One's Own,"Sacks, Sam",Wall Street Journal,"Apr 27, 2013",2013
1346292098,REVIEW --- Books: E-Reading,"Swaim, Barton",Wall Street Journal,"Apr 27, 2013",2013
1346191774,Martinez promises knockout: † Murray says he'll dethrone champion,"Velin, Bob",USA TODAY,"Apr 26, 2013",2013
1346106396,Arts & Entertainment: Raising Rushdie's 'Children' on Film,"Patel, Vibhuti",Wall Street Journal,"Apr 26, 2013",2013
1346104810,ARENA --- Theater: The 'Matilda' Fab Four --- Four child actors alternate the lead role in Broadway's smash hit,"Cohen, Stefanie",Wall Street Journal,"Apr 26, 2013",2013
1344934080,Newly Released: † [Review],"Williams, John",New York Times,"Apr 25, 2013",2013
1334992492,Father and Son and Asperger's: † [Review],"Cowles, Gregory",New York Times,"Apr 23, 2013",2013
1335008531,The Right Way? Rand Paul Tries to Transform A Moment Into a Movement,"Langley, Monica",Wall Street Journal,"Apr 23, 2013",2013
1335008614,Arts & Entertainment -- Speakeasy: It's All About The Principal,"Chai, Barbara",Wall Street Journal,"Apr 23, 2013",2013
1330913669,Thrown for a Curve: † [Money and Business/Financial Desk],"Bai, Matt",New York Times,"Apr 21, 2013",2013
1330820815,Bereaved and Incited by Malaria: † [Review],"Genzlinger, Neil",New York Times,"Apr 20, 2013",2013
1330830575,REVIEW --- Books: Who Lost Afghanistan? --- Something funny happened to Richard Holbrooke on the way to the negotiating table,"Traub, James",Wall Street Journal,"Apr 20, 2013",2013
1328996473,The Listings: † [Schedule][1],,New York Times,"Apr 19, 2013",2013
1328490983,Randi Weingarten's Pension Veto,Anonymous,Wall Street Journal,"Apr 19, 2013",2013
1328199887,Lighting a Spark On the High Plains: † Commentary,"Pipher, Mary",New York Times,"Apr 18, 2013",2013
1328197838,"Frank Bank, TV Actor, 71; Lumpy on 'Leave It to Beaver': † [Obituary (Obit); Biography]","Gates, Anita",New York Times,"Apr 18, 2013",2013
1327054089,Robinson Tributes Go Beyond Majors: † [Sports Desk],"Atkins, Hunter",New York Times,"Apr 16, 2013",2013
1327390050,"Chick-fil-A tosses its old salad menu: † Healthier new choices on way as it freshens fixings, and its image","Horovitz, Bruce",USA TODAY,"Apr 16, 2013",2013
1326696679,More Cracks Undermine The Citadel Of TV Profits: † [Business/Financial Desk],"Carr, David",New York Times,"Apr 15, 2013",2013
1326574902,"Gym, Tan, Laundry, Family, Talk Show: † [Arts and Leisure Desk]","Itzkoff, Dave",New York Times,"Apr 14, 2013",2013
1327065627,How They Get to Gracie Mansion: † [Metropolitan Desk],"Barbaro, Michael",New York Times,"Apr 14, 2013",2013
1326574908,Rutgers and Rice: Questions and Outrage: † [Letter],,New York Times,"Apr 14, 2013",2013
1326578231,"W.N.B.A. Hopes Griner Can Change Perceptions, As Well as Game Itself: † [Sports Desk]","Longman, Jer…",New York Times,"Apr 14, 2013",2013
1326575055,Unlikely Source Has Produced an N.F.L. Draft Prospect: † [Sports Desk],"Battista, Judy",New York Times,"Apr 14, 2013",2013
1326355699,"Lessons on Bacon, Sex and Nixon, Not Available in a Sitcom: † [Review]","Hale, Mike",New York Times,"Apr 13, 2013",2013
1327048863,Radio City Fight Night,"Marino, Gordon",Wall Street Journal,"Apr 13, 2013",2013
1325981536,Soaring Charges By a Contractor With Special Ed: † [Metropolitan Desk],"Halbfinger, David M",New York Times,"Apr 12, 2013",2013
1325981656,"A Festival Now Comfortable in Its Skin: † [Movies, Performing Arts/Weekend Desk]","Holden, Stephen",New York Times,"Apr 12, 2013",2013
1325981567,"Children of the World, Unite!: † [Review]","Brantley, Ben",New York Times,"Apr 12, 2013",2013
1325981542,Horror at Every Turn Of a Dark Cyberjungle: † [Review],"Holden, Stephen",New York Times,"Apr 12, 2013",2013
1325981612,Fists of Legend: † [Review],"Catsoulis, Jeannette",New York Times,"Apr 12, 2013",2013
1326319111,Leagues prep for athlete to come out,"Brady, Erik; Allen, Kevin",USA TODAY,"Apr 12, 2013",2013
1325255762,When the Present Is Past It Looks Much Prettier: † [Review],"McGRATH, CHARLES",New York Times,"Apr 11, 2013",2013
1325666079,Carter award draws protests at Jewish university,"Moore, Martha T",USA TODAY,"Apr 11, 2013",2013
1325303643,U.S. News: When a Teacher Is 2 Feet Tall --- School Experiments Use Robots as Learning Tools; a Dragon for Lifestyle Tips,"Hollander, Sophia",Wall Street Journal,"Apr 11, 2013",2013
1324871204,"Margaret Thatcher, Lightning Rod: † [Letter]",,New York Times,"Apr 10, 2013",2013
1324510308,Brash Christie Plays Rutgers Circumspectly: † [Metropolitan Desk],"Halbfinger, David M",New York Times,"Apr 9, 2013",2013
1324533451,The Genius of Thatcherism Will Endure,"Roberts, Andrew",Wall Street Journal,"Apr 9, 2013",2013
1324379256,About the Children: † Commentary,"Keller, Bill",New York Times,"Apr 8, 2013",2013
1324303591,Rutgers Officials Long Knew of Coach's Actions: † [Sports Desk],"Eder, Steve",New York Times,"Apr 7, 2013",2013
1324303560,European Take On Bullying: † [Arts and Leisure Desk],"Genzlinger, Neil",New York Times,"Apr 7, 2013",2013
1324305895,Long Island: † [Schedule],,New York Times,"Apr 7, 2013",2013
1324209647,Impeachment Proceedings Break a Small Town's Quiet: † [National Desk],"Eligon, John",New York Times,"Apr 6, 2013",2013
1324209695,"If It's Aliens, At Least They Won't Be Naked: † [Review]","Genzlinger, Neil",New York Times,"Apr 6, 2013",2013
1324209596,A Motivational Thread Ties the Junction Boys to Rutgers: † [Sports Desk],"Rhoden, William C",New York Times,"Apr 6, 2013",2013
1324248334,Heard & Scene: Oversharing by the Book,"Shapiro, David, Jr",Wall Street Journal,"Apr 6, 2013",2013
1323779019,"Statutory Rape, Twitter and a Generational Divide: † [Metropolitan Desk]","Yee, Vivian",New York Times,"Apr 5, 2013",2013
1323779278,The Rutgers Scandal: Bullying and Slurs on Campus: † [Letter],,New York Times,"Apr 5, 2013",2013
1323771032,"ARENA --- Film: From Talkie To Texties --- Hollywood is grappling with the storytelling challenges of a world filled with unglamorous smartphones, texting, and social media","Dodes, Rachel",Wall Street Journal,"Apr 5, 2013",2013
1323161167,Rutgers Leaders Are Faulted on Abusive Coach: † [Business/Financial Desk],"Eder, Steve; Zernike, Kate",New York Times,"Apr 4, 2013",2013
1323170423,Students Find Opening Up Transforms Vicious Circle: † [National Desk],"Brown, Patricia Leigh",New York Times,"Apr 4, 2013",2013
1323161147,"Barbara Piasecka Johnson, Maid Who Married Multimillionaire, Dies at 76: † [Obituary (Obit); Biography]","Weber, Bruce",New York Times,"Apr 4, 2013",2013
1323170397,"At a Lonely Hotel, Two Lives That Overlapped: † [Review]","Brantley, Ben",New York Times,"Apr 4, 2013",2013
1323195218,The Rutgers Coach Had to Go -- in December,"Tiger, Lionel",Wall Street Journal,"Apr 4, 2013",2013
1323148813,Rutgers coach has got to go: † Rice's bullying conduct goes well over the line,"Lopresti, Mike",USA TODAY,"Apr 3, 2013",2013
1322155609,"Japanese Diary Washes Ashore, Its Mysteries a Gift: † [Review]","Schwarzbaum, Lisa",New York Times,"Apr 2, 2013",2013
1321770289,"Books of Hope, Found in Newtown Gunman's Home: † [Metropolitan Desk]","Dunlap, David W",New York Times,"Apr 1, 2013",2013
1321781792,A Love-Hate Reckoning: † [Arts and Leisure Desk],"Healy, Patrick",New York Times,"Mar 31, 2013",2013
1321782219,The Listings: † [Schedule],,New York Times,"Mar 31, 2013",2013
1321781934,Wichita State Upsets Ohio State to Emerge From Topsy-Turvy West: † [Sports Desk],"Bishop, Greg",New York Times,"Mar 31, 2013",2013
1321294148,"Newtown Killer's Obsessions, in Chilling Detail: † [Metropolitan Desk]","Kleinfield, N R; Rivera, Ray; Kovaleski, Serge F",New York Times,"Mar 29, 2013",2013
1321293976,Cheating Our Children: † Commentary,"Krugman, Paul",New York Times,"Mar 29, 2013",2013
1321476084,Reserves dancing along at FGCU,"Prisbell, Eric",USA TODAY,"Mar 29, 2013",2013
1321314105,What's French for 'Economic Nonsense'?,"Hatchuel, Romain",Wall Street Journal,"Mar 29, 2013",2013
1321314117,"ARENA --- Morgenstern on Film -- Review: 'Pines': Strong Roots, Spindly Growth","Morgenstern, Joe",Wall Street Journal,"Mar 29, 2013",2013
1319544140,Publishers Revel In Youthful Cruelty: † [The Arts/Cultural Desk],"Kaufman, Leslie",New York Times,"Mar 27, 2013",2013
1319549128,Locking Horns Where Others Might Sing 'Kumbaya': † [Review],"Caramanica, Jon",New York Times,"Mar 27, 2013",2013
1319544154,What's on Today: † [Schedule],"Kepler, Adam W",New York Times,"Mar 27, 2013",2013
1319347119,"Albums by Dido, OneRepublic, Thompson Square, Tomasz Stanko: † [Review]","Pareles, Jon; Chinen, Nate; Caramanica, Jon; Ratliff, Ben",New York Times,"Mar 26, 2013",2013
1319347129,Dido: † [Review],"Pareles, Jon",New York Times,"Mar 26, 2013",2013
1319487383,"Behind the curve?: † As gay rights support grows in sports, MLB culture might make change difficult","Ortiz, Jorge L",USA TODAY,"Mar 26, 2013",2013
1319186627,"For Homesick Russian Tycoon, Instant of Ruin Came in Court: † [Foreign Desk]","Lyall, Sarah",New York Times,"Mar 25, 2013",2013
1319177499,"Joe Weider, Creator of Bodybuilding Empire, Dies at 93: † [Obituary (Obit); Biography]","McFADDEN, ROBERT D",New York Times,"Mar 25, 2013",2013
1319280653,"U.S. must stop investing inIsraeli, Palestinian peace",,USA TODAY,"Mar 25, 2013",2013
1319174366,"With Bottle-Fillers in Mind, The Water Fountain Evolves","Hagerty, James R",Wall Street Journal,"Mar 25, 2013",2013
1319188686,The Nerd as Auteur: † [Arts and Leisure Desk],"Goldberg, Harold",New York Times,"Mar 24, 2013",2013
1319185813,A Guest in Arrears: Must He Pay Up?: † [Arts and Leisure Desk],"Isherwood, Charles",New York Times,"Mar 24, 2013",2013
1319190979,The G.O.P.'s Bachmann Problem: † [Op-Ed],"Blow, Charles M",New York Times,"Mar 23, 2013",2013
1318889333,"When the U.S. Drops Its Guard, Fresh Disasters Arise",Anonymous,Wall Street Journal,"Mar 23, 2013",2013
1318653056,"Mom and Dad, Midwest and Milan: † [Review]","Kakutani, Michiko",New York Times,"Mar 22, 2013",2013
1318045572,Sex Charges in Connecticut Are Dissected on Internet: † [Metropolitan Desk],"Baker, Al",New York Times,"Mar 21, 2013",2013
1318045906,"The Man Of the Hour, Or Four: † [Style Desk]","Bernstein, Jacob",New York Times,"Mar 21, 2013",2013
1318045910,The Stories of the Holocaust: † [Museums],"Pogrebin, Robin",New York Times,"Mar 21, 2013",2013
1318613647,"'Croods' puts Cage in his discomfort zone: † Eclectic actor embraces family films, for now","Bowles, Scott",USA TODAY,"Mar 21, 2013",2013
1317821707,"Murrey Marder, 93, Early McCarthy Skeptic: † [Obituary (Obit); Biography]","Weber, Bruce",New York Times,"Mar 20, 2013",2013
1317822036,"True Story Inspires Tale of Sex Trade; in a Twist, a U.S. Marshal Is the Bad Guy: † [Review]","Holden, Stephen",New York Times,"Mar 20, 2013",2013
1317816419,World News: Russian Probe Finds No Crime In Jailed Whistleblower's Death,"Cullison, Alan",Wall Street Journal,"Mar 20, 2013",2013
1317816509,American Withdrawal and Global Disorder,"Cohen, Eliot",Wall Street Journal,"Mar 20, 2013",2013
1317382044,Dispute on Transgender Rights Unfolds at a Colorado School: † [National Desk],"Frosch, Dan",New York Times,"Mar 18, 2013",2013
1317382034,Correction: † [Correction],,New York Times,"Mar 18, 2013",2013
1317222807,"When I Hire You, I'm Hiring Your Mentors' Judgment: † [Question]","Bryant, Adam",New York Times,"Mar 17, 2013",2013
1317222584,Sunday Dialogue: As the U.S. Reacts to North Korea's Threats: † [Letter],,New York Times,"Mar 17, 2013",2013
1317223027,The Stories That Bind Us: † [Style Desk],"Feiler, Bruce",New York Times,"Mar 17, 2013",2013
1317091965,"REVIEW --- Let Them Eat Fat --- Listening to the doctors on cable TV, you might think that it's better to cook up a batch of meth than to cook with butter; But eating basic, earthy, fatty foods isn't just a supreme experience of the senses -- it can actually be good for you","Rosenbaum, Ron",Wall Street Journal,"Mar 16, 2013",2013
1316722582,Focusing on Violence Before It Happens: † [National Desk],"Goode, Erica",New York Times,"Mar 15, 2013",2013
1316722983,Sleepwalking Magician Pulls a New Self Out of a Hat: † [Review],"Holden, Stephen",New York Times,"Mar 15, 2013",2013
1316718977,Clip: † [Review],"Catsoulis, Jeannette",New York Times,"Mar 15, 2013",2013
1316723007,Spare Times For Children: † [Schedule],"Graeber, Laurel",New York Times,"Mar 15, 2013",2013
1316274174,"Is It Bullying, or Is It Just Bad Behavior?: † [Letter]",,New York Times,"Mar 14, 2013",2013
1316320088,Dolan Rises -- Just Not to Pope,"Hollander, Sophia; Maloney, Jennifer",Wall Street Journal,"Mar 14, 2013",2013
1316030181,What the Tide Brought In: † [The Arts/Cultural Desk],"Lee, Felicia R",New York Times,"Mar 13, 2013",2013
1315807302,Defining Bullying Down: † [Op-Ed],"Bazelon, Emily",New York Times,"Mar 12, 2013",2013
1315517798,Words That Hurt and Kill: Lessons for Society From Bullying and Its Psychic Toll: † [Review],"Schwartz, John",New York Times,"Mar 11, 2013",2013
1315422769,When They Were Big: † [Sports Desk],"Bishop, Greg",New York Times,"Mar 10, 2013",2013
1315421915,No Airbrushing Required: † [Style Desk],"LaPORTE, NICOLE",New York Times,"Mar 10, 2013",2013
1315422439,Unwanted Reunion: † [Question],"Galanes, Philip",New York Times,"Mar 10, 2013",2013
1315267050,Discovered in a Casting Call in Hunts Point: † [Metropolitan Desk],"Gonzalez, David",New York Times,"Mar 9, 2013",2013
1315293364,World News: Narrow Victory Seen in Kenya Race,"McGroarty, Patrick; Abshir, Idil",Wall Street Journal,"Mar 9, 2013",2013
1315293046,"The Catholic Church as It Faces the Long, Long Term",Anonymous,Wall Street Journal,"Mar 9, 2013",2013
1315036390,Britain: Politician's Ex-Wife Convicted Of Lying in Old Speeding Ticket Case: † [Foreign Desk],"Burns, John F",New York Times,"Mar 8, 2013",2013
1315037720,"Last Stop, Adulthood, The Bronx: † [Review]","Scott, A O",New York Times,"Mar 8, 2013",2013
1315168731,The Listings: † [Schedule],The New York Times11 The New York Times,New York Times,"Mar 8, 2013",2013
1315101990,ARENA --- Television -- Review: Man-Made Disasters,"Rabinowitz, Dorothy",Wall Street Journal,"Mar 8, 2013",2013
1314865882,Using Billboards To Stake Claim Over 'Jihad': † [National Desk],"Yaccino, Steven; Poh Si Teng",New York Times,"Mar 7, 2013",2013
1314868723,Suit Says Sherlock Belongs To the Ages: † [The Arts/Cultural Desk],"Schuessler, Jennifer",New York Times,"Mar 7, 2013",2013
1314985033,"Among the 'Dead,' women stand tall: † They'll kill to survive while the men try to cope","Memmott, Carol",USA TODAY,"Mar 7, 2013",2013
1314641868,Hazing Arrests Prompt a Debate Over Student Conduct at Bronx Science: † [Metropolitan Desk],"Baker, Al",New York Times,"Mar 6, 2013",2013
1314477138,Disparate Outcome Is Fear-Based,Anonymous,Wall Street Journal,"Mar 5, 2013",2013
1314477169,City News: Hazing Case at Bronx Science,"El-Ghobashy, Tamer; Fleisher, Lisa",Wall Street Journal,"Mar 5, 2013",2013
1314287602,New Chinese Leader Shores Up Military Support: † [Foreign Desk],"Buckley, Chris",New York Times,"Mar 4, 2013",2013
1314149309,Sacrifice at the Altar of Intolerance: † [Arts and Leisure Desk],"Rohter, Larry",New York Times,"Mar 3, 2013",2013
1313895182,REVIEW --- The Tyranny of the Queen Bee --- Women who reached positions of power were supposed to be mentors to those who followed -- but something is amiss in the professional sisterhood,"Drexler, Peggy",Wall Street Journal,"Mar 2, 2013",2013
1313905750,REVIEW --- Ideas Market: Week in Ideas,"Akst, Dan",Wall Street Journal,"Mar 2, 2013",2013
1313540038,The Listings: † [Schedule],The New York Times11 The New York Times,New York Times,"Mar 1, 2013",2013
1313576254,'Red Widow': Tragic for everyone involved: † It's another Mob drama that doesn't even make an effort to make sense,"Bianco, Robert",USA TODAY,"Mar 1, 2013",2013
1313382795,ARENA --- Books -- Fiction: Sam Lipsyte: Prickly Antiheroes With a Sense of Humor,"Alter, Alexandra",Wall Street Journal,"Mar 1, 2013",2013
1313382715,ARENA --- Sports: School of Hard Blocks --- Butler Thrives on the Basketball Court by Fouling -- Without Fouling,"Cohen, Ben",Wall Street Journal,"Mar 1, 2013",2013
1312801423,Trauma Sets Female Veterans Adrift Back Home: † [News; Series],"Brown, Patricia Leigh",New York Times,"Feb 28, 2013",2013
1312801382,Tumultuous Days for N.C.A.A.'s President as the Calls for Reform Grow Louder: † [Sports Desk],"Bishop, Greg",New York Times,"Feb 28, 2013",2013
1312159954,"Arts & Entertainment: A Bronx Tale Unlike the One Hollywood Tells --- Using Young, Untrained Local Actors, Michel Gondry's 'The We and the I' Tears at the Social Fabric of an MTA Bus Ride","Dollar, Steve",Wall Street Journal,"Feb 25, 2013",2013
1302009400,How Offices Become Complaint Departments: † [Money and Business/Financial Desk],"Korkki, Phyllis",New York Times,"Feb 24, 2013",2013
1295704902,A Boy Finds His Love For Theater: † [The Arts/Cultural Desk],"Healy, Patrick",New York Times,"Feb 23, 2013",2013
1296292178,Declarations: Government by Freakout,"Noonan, Peggy",Wall Street Journal,"Feb 23, 2013",2013
1296293776,REVIEW --- Books: The Cruelty of Youth,Meghan Cox Gurdon,Wall Street Journal,"Feb 23, 2013",2013
1289244138,"Effects of Bullying Last Into Adulthood, Study Says: † [National Desk]",Catherine Saint Louis,New York Times,"Feb 21, 2013",2013
1289244512,Staging Stories That Are Torn From the News: † [The Arts/Cultural Desk],"Isherwood, Charles",New York Times,"Feb 21, 2013",2013
1288974599,Unfriending Big Brother,"Shippey, Tom",Wall Street Journal,"Feb 20, 2013",2013
1288155813,From Gulag To Goulash: † [T: Women's Fashion Magazine],"Lyall, Sarah",New York Times,"Feb 17, 2013",2013
1288152432,Connecticut: † [Schedule],,New York Times,"Feb 17, 2013",2013
1288152265,17-Year-Old Takes All the Attention in Stride: † [Sports Desk],"Spring, Joe",New York Times,"Feb 17, 2013",2013
1288043466,Texas Senator Goes on Attack And Raises Bipartisan Hackles: † [National Desk],"Weisman, Jonathan",New York Times,"Feb 16, 2013",2013
1288042707,A Scandal Leaves Its Mark: † [Sports Desk][1],"Pilon, Mary; Lehren, Andrew W",New York Times,"Feb 16, 2013",2013
1287990997,Anonymous comments banned because they're so #*!% rude,"Rieder, Rem",USA TODAY,"Feb 15, 2013",2013
1287291686,"With Guns, Killer and Victim Are Usually Same: † [National Desk]","Tavernise, Sabrina",New York Times,"Feb 14, 2013",2013
1285624142,Shooting in the Dark: † [Science Desk],"Carey, Benedict",New York Times,"Feb 12, 2013",2013
1285436615,A New York Cyclist Goes West: † [Metropolitan Desk],"Berg, Kate",New York Times,"Feb 11, 2013",2013
1285436611,Metropolitan Diary: † [Metropolitan Desk],,New York Times,"Feb 11, 2013",2013
1285436535,What's On Today: † [Schedule],"Shattuck, Kathryn",New York Times,"Feb 11, 2013",2013
1285520735,Down and give me 250 (pages of advice),"Hellmich, Nanci",USA TODAY,"Feb 11, 2013",2013
1285445773,World News: Speeding-Scandal Trial Grips the U.K.,"Bryan-Low, Cassell",Wall Street Journal,"Feb 11, 2013",2013
1285312285,Baseball's Recurring Narrative: Every Year They Write the Book: † [Sports Desk],"Kepner, Tyler",New York Times,"Feb 10, 2013",2013
1285312167,The Secret To Fixing Bad Schools: † [Op-Ed],"Kirp, David L",New York Times,"Feb 10, 2013",2013
1285236294,REVIEW --- Books -- Children's Books: Meaning In Dark Places,Meghan Cox Gurdon,Wall Street Journal,"Feb 9, 2013",2013
1285236286,REVIEW --- Books -- Fiction Chronicle: Tween Angel,"Sacks, Sam",Wall Street Journal,"Feb 9, 2013",2013
1285056930,ARENA --- Theater: An American Nightmare Revisited,"Nance, Kevin",Wall Street Journal,"Feb 8, 2013",2013
1284608686,"With Care, Newtown Tries to Move On Amid Tokens of Grief: † [Metropolitan Desk]","Applebome, Peter",New York Times,"Feb 7, 2013",2013
1284598177,"Guy Tozzoli, 90, Who Led Team That Built Twin Towers, Is Dead: † [Obituary (Obit); Biography]","Dunlap, David W",New York Times,"Feb 7, 2013",2013
